,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
4119,"All he does is put us down, and remind us that he's intellectually superior","l7aja lwa7ida li kaydir hia kayTyye7 mnna, wi fkkrna annaho mot99af 3lina","لحاجا لواحيدا لي كايدير هيا كايطيّح منّا, وي فكّرنا أنّاهو موتقّاف علينا",كل ما يفعله هو أن يحط منا، ويذكرنا بأنه أعلى منا فكريًا,TRUE,ABBADI Khaoula,,,,,,,,,
4120,I can't take it anymore,man9drch nb9a Sabr,مانقدرش نبقا صابر,لا أستطيع تحمله بعد الآن,TRUE,ABBADI Khaoula,,,,,,,,,
4121,I'm not the only one,rah ana machi bo7di,راه أنا ماشي بوحدي,لست الوحيد,TRUE,ABBADI Khaoula,,راه ماشي بوحدي,FALSE,Rajaa,,,,,
4122,"Besides, he keeps harassing my friends","zid 3liha, kayb9a itbssel 3la S7abati","زيد عليها, كايبقا إتبسّل علا صحاباتي",بالإضافة إلى ذلك، هو يستمر في مضايقة أصدقائي,TRUE,ABBADI Khaoula,,,,,,,,,
4123,Oh dear,Oh 7biba,أُه حبيبا,يا عزيزي,TRUE,ABBADI Khaoula,,ناري,FALSE,Rajaa,,,,,
4124,Maybe we need to have a proper discussion about that at some point,yamkan khasna nglso n8Dro 3la hadchi fwahd lw9t,يامكان خاسنا نڭلسو نهضرو علا هادشي فواهد لوقت,ربما نحتاج إلى إجراء مناقشة مناسبة حول ذلك في وقت ما,TRUE,ABBADI Khaoula,,واقيلة خاسنا نڭلسو نهضروعلا هادشي شي وقيتة,FALSE,Rajaa,,,,,
4125,Have you contacted anybody about that?,wach twaSlti m3a chi 7ad 3la hadchi?,واش تواصلتي معا شي حاد علا هادشي?,هل اتصلت بأحد بخصوص ذلك؟,TRUE,ABBADI Khaoula,,,,,,,,,
4126,There is a school counsellor on site every Tuesday,kaykon lmostachar dyal madrasa kol tlat,كايكون لموستاشار ديال مادراسا كول تلات,يوجد مستشار مدرسي في الموقع كل يوم ثلاثاء,TRUE,ABBADI Khaoula,,,,,,,,,
4127,That's the thing,hada howa,هادا هووا,,TRUE,ABBADI Khaoula,,داكشي,FALSE,Rajaa,,,,,
4128,That's the thing,hadchi li kayn,هادشي لي كاين,ذلك هو الشيء,TRUE,ABBADI Khaoula,,,,,,,,,
4129,They're plotting together in order not to let any of the information escape,rah kaykhaTTo kamlin bach matkhraj 7ta ma3loma,راه كايخاطّو كاملين باش ماتخراج حتا ماعلوما,إنهم يدبرون معًا حتى لا تفلت أي معلومة,TRUE,ABBADI Khaoula,,راه كايخطّو كاملين باش ماتخرج حتا معلوما,FALSE,Rajaa,,,,,
4130,Just talking to you puts me in grave danger,ghir l8Dra m3ak kat3aradni lkhaTar kbir,غير لهضرا معاك كاتعارادني لخاطار كبير,مجرد التحدث إليك يعرضني لخطر جسيم,TRUE,ABBADI Khaoula,,غير لهضرا معاك كاتعرضني لخطر كبير,FALSE,Rajaa,,,,,
4131,Just talking to you could put me in danger,ghir l8Dra m3ak t9dr tchri8a lia,غير لهضرا معاك تقدر تشريها ليا,مجرد الحديث معك قد يعرضني للخطر,TRUE,ABBADI Khaoula,,,,,,,,,
4132,I really didn't know it was this serious,makanch frasi ga3 anna hadchi b8ad l7idda,ماكانش فراسي ڭاع أنّا هادشي بهاد لحيدّا,لم أكن أعلم حقًا أن الأمر كان بهذه الجدية,TRUE,ABBADI Khaoula,,,,,,,,,
4133,"Don't worry, we'll do something about it","matkhafich, ghadi ndiro chi 7aja 3la had l7sab","ماتخافيش, غادي نديرو شي حاجا علا هاد لحساب",لا تقلق، سنفعل شيئًا حيال ذلك,TRUE,ABBADI Khaoula,,ماتخافش، غا نديرو شي حاجا علا ود هادشي,FALSE,Rajaa,,,,,
4134,And never be too scared to talk out about it,o 3mmrk tkhaf tdwi 3liha,أُ عمّرك تخاف تدوي عليها,ولا تكن خائفًا أبدًا من التحدث عنه,TRUE,ABBADI Khaoula,,أُ عمّرك تخاف تدوي على داكشي,FALSE,Rajaa,,,,,
4135,How long has it been going on?,mnin o hadchi kayw9a3,منين أُ هادشي كايوقاع,منذ متى وهذا مستمر؟,TRUE,ABBADI Khaoula,,,,,,,,,
4136,How long has it been going on?,mnimta o hadchi kayw9a3,منيمتا أُ هادشي كايوقاع,منذ متى وهذا مستمر؟,TRUE,ABBADI Khaoula,,,,,,,,,
4137,How long has it been going on?,ch7al tlw9t o hadchi kayw9a3,شحال تلوقت أُ هادشي كايوقاع,منذ متى وهذا مستمر؟,TRUE,ABBADI Khaoula,,,,,,,,,
4138,It's been going on since we dared to tell him his course was going too fast,bda kayw9a3 mnin glna lih bila ddrs dyalo kaymchi bzrba,بدا كايوقاع منين ڭلنا ليه بيلا الدرس ديالو كايمشي بزربا,لقد استمر الأمر منذ أن تجرأنا على إخباره بأن مساره كان سريعًا جدًا,TRUE,ABBADI Khaoula,,,,,,,,,
4139,He's got too much ego and can't stand a contradiction,3ndo bzaf mn 7ob nafs o makaybghi ta mo3araDa,عندو بزاف من حوب نافس أُ ماكايبغي تا موعاراضا,لديه غرور كبير ولا يستطيع تحمل النقيض,TRUE,ABBADI Khaoula,,عاجبو راسو بزاف أُ ماكايبغي تا معارضه,FALSE,Rajaa,,,,,
4140,"Since he's friends with the councilman, he's getting revenge","7it howa Sa7b 3oDw lmajlis, rah kaynta9am","حيت هووا صاحب عوضو لماجليس, راه كاينتاقام",بما أنه صديق لعضو المجلس، فهو ينتقم,TRUE,ABBADI Khaoula,,,,,,,,,
4141,"However, now that he's aware of his power, he also goes after my friends because they're girls","walakin daba mnin 3raf l9owa dyalo, rah tab3 s7abati 7it homa bnat","والاكين دابا منين عراف لقووا ديالو, راه تابع سحاباتي حيت هوما بنات",ومع ذلك، الآن بعد أن أصبح على دراية بقوته، فهو يلاحق أصدقائي أيضًا لأنهن فتيات,TRUE,ABBADI Khaoula,,والاكين دابا منين عرف لقووا ديالو، راه تابع صحاباتي حيت لقاهوم بنات,FALSE,Rajaa,,,,,
4142,Now they hate me because they think it's my fault,o daba kaykar8oni 7it kays7ab lihom hada lghalaT dyali,أُ دابا كايكارهوني حيت كايسحاب ليهوم هادا لغالاط ديالي,الآن يكرهونني لأنهم يعتقدون أنها خطأي,TRUE,ABBADI Khaoula,,,,,,,,,
4143,my dear,3azizi,عازيزي,عزيزي,TRUE,ABBADI Khaoula,,عزيزي,FALSE,Rajaa,,,,,
4144,This really does sound serious,hadchi bSS7 kayban jiddi,هادشي بصّح كايبان جيدّي,هذا يبدو جديًا بالفعل,TRUE,ABBADI Khaoula,,,,,,,,,
4145,I'm going to have to organise a meeting to discuss this,ghadi ykhasni ndir ijtima3 bach na9cho hadchi,غادي يخاسني ندير إجتيماع باش ناقشو هادشي,سأضطر إلى تنظيم اجتماع لمناقشة هذا,TRUE,ABBADI Khaoula,,,,,,,,,
4146,This needs to be sorted out quickly,hadchi khaso it7ell bzarba,هادشي خاسو إتحلّ بزاربا,يجب حل هذا بسرعة,TRUE,ABBADI Khaoula,,,,,,,,,
4147,I'll talk to the head and see what we can do to investigate,ghadi n8Dr m3a ra2is o nchof ach n9addo ndiro bach n7e99o,غادي نهضر معا راإس أُ نشوف أش نقادّو نديرو باش نحقّو,سأتحدث إلى الرئيس وأرى ما يمكننا فعله للتحقيق,TRUE,ABBADI Khaoula,,غادي نهضر معا رئيس أُ نشوف أش نقدّو نديرو باش نحقّو,FALSE,Rajaa,,,,,
4148,I'll let you know,ghadi ngolik,غادي نڭوليك,سأخبرك,TRUE,ABBADI Khaoula,,,,,,,,,
4149,I'll let you know,ghadi n3lmk,غادي نعلمك,سأخبرك,TRUE,ABBADI Khaoula,,,,,,,,,
4150,I'll let you know,daba n3lmk,دابا نعلمك,سأخبرك,TRUE,ABBADI Khaoula,,,,,,,,,
4151,I'll let you know,daba nredd 3lik lkhbar,دابا نردّ عليك لخبار,سأخبرك,TRUE,ABBADI Khaoula,,,,,,,,,
4152,"And don't worry, I'll do it quickly!","o matkhafch, ghadi ndir dakchi bzarba","أُ ماتخافش, غادي ندير داكشي بزاربا",ولا تقلق، سأفعلها بسرعة!,TRUE,ABBADI Khaoula,,أُ ماتخافش، غادي نزرب على داكشي,FALSE,Rajaa,,,,,
4153,Thank you so much!,chokran bzaf!,شوكران بزاف!,شكراً جزيلاً!,TRUE,ABBADI Khaoula,,,,,,,,,
4154,I hope he can rot in jail for the rest of his life,kantmana itjyyef fl7abs 7yato kamlha,كانتمانا إتجيّف فلحابس حياتو كاملها,آمل أن يتعفن في السجن لبقية حياته,TRUE,ABBADI Khaoula,,كانتمانا يخماج فلحبس حياتو كاملا,FALSE,Rajaa,,,,,
4155,he'll be eaten by rats,ghadi yakloh l firan,غادي ياكلوه ل فيران,سيؤكل من قِبَل الجرذان,TRUE,ABBADI Khaoula,,,,,,,,,
4156,"So Douaa, how are you today?","iwa a Douaa, kidayra lyouma","إوا أ ضوا, كيدايرا ليوما",فدوى، كيف حالك اليوم؟,TRUE,ABBADI Khaoula,,إوا أ دعاء، كيدايرا ليوما,FALSE,Rajaa,,,,,
4157,"So, so, but much better than yesterday, thank you","hakka o hakka, walakin 7san bzaf mn lbar7, chokran","هاكّا أُ هاكّا, والاكين حسان بزاف من لبارح, شوكران",هكذا، هكذا، لكن أفضل بكثير من الأمس، شكرًا,TRUE,ABBADI Khaoula,,شوية وصاف، والاكين حسان بزاف من لبارح، شوكران,FALSE,Rajaa,,,,,
4158,How are those lovely grandchildren of yours?,kidayrin a7fadk zwinin?,كيدايرين أحفادك زوينين?,كيف حال أحفادك الأعزاء؟,TRUE,ABID Meryem,,,,,,,,,
4159,Three is it now or am I miscounting!,tlata daba wla ghlaT fl7sab!,تلاتا دابا ولا غلاط فلحساب!,هل هو ثلاثة الآن أم أنني أخطئ في العد!,TRUE,ABID Meryem,,,,,,,,,
4160,"Oh, good!",ah mazyan,أه مازيان,آه، جيد!,TRUE,ABID Meryem,,أه مزيان,FALSE,Rajaa,,,,,
4161,It's just all these little pains,ghir had 2alam Sghira,غير هاد ألام صغيرا,إنها مجرد كل هذه الآلام الصغيرة,TRUE,ABID Meryem,,,,,,,,,
4162,it doesn't make life easy!,makatkhalich l7ayat sa8la,ماكاتخاليش لحايات ساهلا,إنه لا يجعل الحياة سهلة!,TRUE,ABID Meryem,,ماكاتخليش لحياة ساهلا,FALSE,Rajaa,,,,,
4163,My grandkids are fine,7fadi labas 3lihom,حفادي لاباس عليهوم,أحفادي بخير,TRUE,ABID Meryem,,حفادي لاباس عليهم,FALSE,Rajaa,,,,,
4164,"the last one, Chihab's daughter","akhir w7da fihom, bnt Chihab","أخير وحدا فيهوم, بنت شيهاب",الأخيرة، ابنة شهاب,TRUE,ABID Meryem,,"أخير وحدة فيهوم, بنت شهاب",FALSE,Rajaa,,,,,
4165,my second daughter,bnti ttania,بنتي التانيا,ابنتي الثانية,TRUE,ABID Meryem,,,,,,,,,
4166,she just made her first steps!,yallah bdat katmecha,يالّاه بدات كاتمشا,لقد خطت لتوها خطواتها الأولى!,TRUE,ABID Meryem,,,,,,,,,
4167,As a parent you're not supposed to have favourites,"ka walidin, makhssch ikono 3ndk wlad mofDDalin","كا واليدين, ماخسّش إكونو عندك ولاد موفضّالين",كوالد، يُفترض ألا يكون لديك مفضلين,TRUE,ABID Meryem,,"كواليدين, ماخسّش إكونو عندك ولاد مفضّلين",FALSE,Rajaa,,,,,
4168,but Jmiaa has been such a lovely daughter,walakin Jmiaa kant bant ghzala,والاكين جمياا كانت بانت غزالا,لكن جميعة كانت ابنة رائعة,TRUE,ABID Meryem,,ولكن جميعة كانت بانت غزالة,FALSE,Rajaa,,,,,
4169,I'm guessing her child is just as beautiful as she is,kangoul wld8a ghaykon zwin b7al8a,كانڭول ولدها غايكون زوين بحالها,أظن أن طفلها جميلٌ جداً كما هي,TRUE,ABID Meryem,,كانڭول ولدها غايكون زوين بحالها,FALSE,Rajaa,,,,,
4170,Did you bring in any photographs?,wach jabti chi tSawr?,واش جابتي شي تصاور?,هل جلبت أية صور فوتوغرافية؟,TRUE,ABID Meryem,,واش جبتي شي تصاور?,FALSE,Rajaa,,,,,
4171,"Pains, don't talk to me about pains","2alam, bla mat8Dr m3aya 3la l2alam","ألام, بلا ماتهضر معايا علا لألام",الآلام، لا تحدثني عن الآلام,TRUE,ABID Meryem,,"الألام, بلا ماتهضر معايا علا لألام",FALSE,Rajaa,,,,,
4172,I can barely walk these days,bzaz bach kan9dar ntmacha had liyam,بزاز باش كانقدار نتماشا هاد لييام,أنا بالكاد أستطيع المشي هذه الأيام,TRUE,ABID Meryem,,بزّز باش كانقدر نتمشّا هاد ليّام,FALSE,Rajaa,,,,,
4173,"Ah, how I understand you!","ah, rani fa8mak","أه, راني فاهماك",آه، كيف أفهمك!,TRUE,ABID Meryem,,"أه, راني فاهمك",FALSE,Rajaa,,,,,
4174,"It's true that Marion was always the little girl of everyone... kind of like your Oliver, wasn't she?","bsa7 Marion dima kant lbant sghira dyal kolchi... b7al Oliver dyalk, yak?","بساح ماريون ديما كانت لبانت سغيرا ديال كولشي... بحال أُليڤر ديالك, ياك?",من الصحيح أن ماريون كانت دائمًا الفتاة الصغيرة للجميع... نوعًا ما مثل أوليفر الخاص بك، أليس كذلك؟,TRUE,ABID Meryem,,"بصاح ماريون ديما كانت لبنت صغيرا ديال كولشي... بحال أوليڤر ديالك, ياك?",FALSE,Rajaa,,,,,
4175,I don't have any pictures with me,ma8Azz m3aya tta tSwira daba,ماهازّ معايا التا تصويرا دابا,ليس لدي أي صور معي,TRUE,ABID Meryem,,ماهازّ معايا حتّا تصويرا دابا,FALSE,Rajaa,,,,,
4176,"You know, the technology and I...",rak 3arfni m3a technology,راك عارفني معا تشنولوڭي,أنت تعلم، التكنولوجيا وأنا...,TRUE,ABID Meryem,,راك عارفني معا التكنولوجيا ,FALSE,Rajaa,,,,,
4177,my kids gave me a tablet,wladi 3Tawni tablet,ولادي عطاوني تابلت,أعطاني أطفالي جهاز لوحي,TRUE,ABID Meryem,,ولادي عطاوني تابلت,FALSE,Rajaa,,,,,
4178,but I don't know what to do with it!,walakin ma3raftch ach ndir biha,والاكين ماعرافتش أش ندير بيها,ولكن لا أعرف ماذا أفعل به!,TRUE,ABID Meryem,,ولاكن ماعرفتش أش ندير بيها,FALSE,Rajaa,,,,,
4179,"For your arthritis, fortunately, you're here, right?","3la 7sab iltihab lmafasil 3andak, l7osn l7ad, nta hna, kayna?","علا حساب إلتيهاب لمافاسيل عانداك, لحوسن لحاد, نتا هنا, كاينا?",لحسن الحظ، أنت هنا بسبب التهاب المفاصل، أليس كذلك؟,TRUE,ABID Meryem,,"علا حساب إلتهاب لمافاصيل عندك, لحسن لحض, نتا هنا, كاينا?",FALSE,Rajaa,,,,,
4180,The staff seems very caring,bano liya lmowadafin kayT8llaw bzaf,بانو لييا لمووادافين كايطهلّاو بزاف,يبدو أن الموظفين مهتمون جدًا,TRUE,ABID Meryem,,بانو ليّا الموظفين كايتهلّاو بزاف,FALSE,Rajaa,,,,,
4181,Yanis gave me a tablet on my birthday,Yanis 3tani tablet f 3id miladi,يانيس عتاني تابلت ف عيد ميلادي,أعطاني يانيس جهاز لوحي في عيد ميلادي,TRUE,ABID Meryem,,يانيس عطاني تابلت ف عيد ميلادي,FALSE,Rajaa,,,,,
4182,I use it for watching TV and reading books,kankhadmo bach ntfrrj f tlfaza o l9raya t lktoba,كانخادمو باش نتفرّج ف تلفازا أُ لقرايا ت لكتوبا,أستخدمه لمشاهدة التلفاز وقراءة الكتب,TRUE,ABID Meryem,,كنخدّمو باش نتفرّج ف تلفازا و لقرايا ديال لكتوبا,FALSE,Rajaa,,,,,
4183,He showed me how it works,rah wrrani kifach katkhdm,راه ورّاني كيفاش كاتخدم,أراني كيف يعمل,TRUE,ABID Meryem,,راه ورّاني كيفاش كتخدم,FALSE,Rajaa,,,,,
4184,but if I get stuck the girls in here will always help me,"walakin ila w7lt, lbnat lli 8na dima ghay3awnoni","والاكين إلا وحلت, لبنات اللي هنا ديما غايعاونوني",ولكن إذا علقت، الفتيات هنا سيساعدنني دائمًا,TRUE,ABID Meryem,,"ولكن إلا وحلت, لبنات اللي هنا ديما غيعونوني",FALSE,Rajaa,,,,,
4185,They are very kind,homa drayfin bzaf,هوما درايفين بزاف,إنهم لطفاء جدًا,TRUE,ABID Meryem,,هما ضريفين بزاف,FALSE,Rajaa,,,,,
4186,"Ah, you must be cleverer than me then!","ah, idan ghadi tkon nta dki 3liya","أه, إدان غادي تكون نتا دكي علييا",آه، يجب أن تكون أذكى مني إذًا!,TRUE,ABID Meryem,,"أه, إدن غادي تكون نتا دكي عليا",FALSE,Rajaa,,,,,
4187,"My children often show me how to turn it on and even how to write e-mails, but...","ghaliban kaywariwni wladi kifach nch3lo o naktab emails, walakin...","غاليبان كايواريوني ولادي كيفاش نشعلو أُ ناكتاب إمايلس, والاكين...",أطفالي كثيرًا ما يُريني كيفية تشغيله وحتى كيفية كتابة الرسائل الإلكترونية، لكن...,TRUE,ABID Meryem,,"غالبان كايوريوني ولادي كيفاش نشعلو أُ نكتب إميل, ولكن...",FALSE,Rajaa,,,,,
